Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(f1),01-LDAP(rounds),02-Portmap(f1),02-Portmap(rounds),03-DNS(f1),03-DNS(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3,27,82,0.85028,0.19085,001.29,0.0710,1.9169,0.89655,22,0.52632,13,0.99401,25,0.98425,22
mlp,auto,auto,fedavg,False,0,0 1 2 3,28,85,0.90953,0.08889,003.92,0.0710,1.9879,0.89655,23,0.76923,14,0.98810,26,0.98425,22
mlp,auto,auto,fedavg,False,0,0 1 2 3,29,88,0.91167,0.08553,001.26,0.0710,2.0589,0.89655,24,0.77778,14,0.98810,27,0.98425,23
mlp,auto,auto,fedavg,False,0,0 1 2 3,30,91,0.91167,0.08553,002.33,0.0710,2.1298,0.89655,24,0.77778,15,0.98810,28,0.98425,24
mlp,auto,auto,fedavg,False,0,0 1 2 3,31,94,0.91167,0.08553,002.95,0.0710,2.2008,0.89655,25,0.77778,16,0.98810,29,0.98425,24
mlp,auto,auto,fedavg,False,0,0 1 2 3,32,97,0.91385,0.08213,002.29,0.0710,2.2718,0.89655,26,0.78652,17,0.98810,30,0.98425,24
mlp,auto,auto,fedavg,False,0,0 1 2 3,33,100,0.91385,0.08213,002.97,0.0710,2.3428,0.89655,26,0.78652,18,0.98810,31,0.98425,25
mlp,auto,auto,fedavg,False,0,0 1 2 3,34,103,0.91385,0.08213,002.35,0.0710,2.4138,0.89655,26,0.78652,19,0.98810,32,0.98425,26
mlp,auto,auto,fedavg,False,0,0 1 2 3,35,106,0.91385,0.08213,002.97,0.0710,2.4848,0.89655,27,0.78652,20,0.98810,32,0.98425,27
mlp,auto,auto,fedavg,False,0,0 1 2 3,36,109,0.91385,0.08213,001.80,0.0710,2.5558,0.89655,28,0.78652,21,0.98810,32,0.98425,28
mlp,auto,auto,fedavg,False,0,0 1 2 3,37,112,0.91385,0.08213,002.73,0.0710,2.6268,0.89655,29,0.78652,22,0.98810,32,0.98425,29
mlp,auto,auto,fedavg,False,0,0 1 2 3,38,115,0.91385,0.08213,002.30,0.0710,2.6978,0.89655,29,0.78652,23,0.98810,33,0.98425,30
